,Unnamed: 0.1,Unnamed: 0,DEF_TEAM,OPP_CODE,YEAR,WEEK,SCORE_OPP,PASSING_CMP,PASSING_ATT,PASSING_YDS,PASSING_TD,PASSING_INT,PASSING_SK,PASSING_Y_A,PASSING_NY_A,PASSING_CMP_PCT,PASSING_RATE,RUSHING_ATT,RUSHING_YDS,RUSHING_Y_A,RUSHING_TD
256,256,0,NYJ,DET,2018,1.0,17.0,29.0,52.0,300.0,1.0,5.0,0.0,5.8,5.8,55.8,39.4,15.0,39.0,2.6,0.0
257,257,1,NYJ,MIA,2018,2.0,20.0,17.0,23.0,122.0,2.0,0.0,4.0,7.3,4.5,73.9,114.8,31.0,135.0,4.4,1.0
258,258,2,NYJ,CLE,2018,3.0,21.0,21.0,37.0,190.0,0.0,0.0,4.0,5.9,4.6,56.8,70.8,33.0,133.0,4.0,2.0
259,259,3,NYJ,JAX,2018,4.0,31.0,29.0,38.0,377.0,2.0,1.0,2.0,10.2,9.4,76.3,113.6,34.0,126.0,3.7,1.0
260,260,4,NYJ,DEN,2018,5.0,16.0,35.0,51.0,344.0,2.0,1.0,4.0,7.4,6.3,68.6,92.3,17.0,92.0,5.4,0.0
261,261,5,NYJ,IND,2018,6.0,34.0,23.0,43.0,301.0,4.0,3.0,0.0,7.0,7.0,53.5,77.8,23.0,127.0,5.5,0.0
262,262,6,NYJ,MIN,2018,7.0,37.0,25.0,40.0,228.0,2.0,0.0,1.0,6.0,5.6,62.5,94.6,24.0,88.0,3.7,2.0
263,263,7,NYJ,CHI,2018,8.0,24.0,16.0,29.0,216.0,2.0,0.0,2.0,7.6,7.0,55.2,102.1,34.0,179.0,5.3,1.0
264,264,8,NYJ,MIA,2018,9.0,13.0,15.0,24.0,104.0,0.0,0.0,4.0,5.8,3.7,62.5,72.2,27.0,64.0,2.4,0.0
265,265,9,NYJ,BUF,2018,10.0,41.0,16.0,26.0,239.0,2.0,0.0,1.0,9.5,8.9,61.5,117.3,46.0,212.0,4.6,2.0
266,266,10,NYJ,NWE,2018,12.0,27.0,20.0,31.0,283.0,2.0,0.0,0.0,9.1,9.1,64.5,115.4,36.0,215.0,6.0,1.0
267,267,11,NYJ,TEN,2018,13.0,26.0,20.0,35.0,273.0,2.0,1.0,3.0,8.1,7.2,57.1,89.3,22.0,130.0,5.9,1.0
268,268,12,NYJ,BUF,2018,14.0,23.0,18.0,37.0,192.0,0.0,2.0,3.0,5.6,4.8,48.6,41.7,31.0,176.0,5.7,2.0
269,269,13,NYJ,HOU,2018,15.0,29.0,22.0,28.0,239.0,2.0,0.0,6.0,10.5,7.0,78.6,126.0,17.0,47.0,2.8,0.0
270,270,14,NYJ,GNB,2018,16.0,44.0,37.0,55.0,413.0,2.0,0.0,4.0,8.0,7.0,67.3,101.6,20.0,127.0,6.4,3.0
271,271,15,NYJ,NWE,2018,17.0,38.0,24.0,33.0,244.0,4.0,0.0,1.0,7.6,7.2,72.7,133.1,30.0,131.0,4.4,0.0
272,272,0,HOU,NWE,2018,1.0,27.0,26.0,39.0,267.0,3.0,1.0,2.0,7.1,6.5,66.7,101.1,31.0,122.0,3.9,0.0
273,273,1,HOU,TEN,2018,2.0,20.0,15.0,22.0,183.0,2.0,0.0,1.0,8.7,8.0,68.2,123.9,34.0,100.0,2.9,0.0
274,274,2,HOU,NYG,2018,3.0,27.0,25.0,29.0,265.0,2.0,0.0,4.0,10.2,8.0,86.2,127.7,27.0,114.0,4.2,1.0
275,275,3,HOU,IND,2018,4.0,34.0,40.0,62.0,437.0,4.0,0.0,4.0,7.5,6.6,64.5,106.7,17.0,41.0,2.4,0.0
276,276,4,HOU,DAL,2018,5.0,16.0,18.0,29.0,194.0,1.0,2.0,2.0,7.2,6.3,62.1,64.4,29.0,98.0,3.4,0.0
277,277,5,HOU,BUF,2018,6.0,13.0,16.0,29.0,129.0,1.0,2.0,2.0,5.0,4.2,55.2,49.4,27.0,100.0,3.7,0.0
278,278,6,HOU,JAX,2018,7.0,7.0,27.0,42.0,189.0,1.0,1.0,4.0,5.2,4.1,64.3,72.4,22.0,70.0,3.2,0.0
279,279,7,HOU,MIA,2018,8.0,23.0,22.0,38.0,254.0,1.0,1.0,2.0,7.1,6.4,57.9,76.0,25.0,116.0,4.6,1.0
280,280,8,HOU,DEN,2018,9.0,17.0,26.0,42.0,273.0,1.0,0.0,2.0,6.9,6.2,61.9,88.7,20.0,75.0,3.8,1.0
281,281,9,HOU,WAS,2018,11.0,21.0,18.0,39.0,154.0,1.0,2.0,5.0,4.8,3.5,46.2,44.2,29.0,124.0,4.3,2.0
282,282,10,HOU,TEN,2018,12.0,17.0,22.0,23.0,260.0,2.0,0.0,6.0,13.2,9.0,95.7,142.8,23.0,105.0,4.6,0.0
283,283,11,HOU,CLE,2018,13.0,13.0,29.0,43.0,397.0,1.0,3.0,0.0,9.2,9.2,67.4,75.4,9.0,31.0,3.4,1.0
284,284,12,HOU,IND,2018,14.0,24.0,27.0,41.0,386.0,2.0,1.0,2.0,9.7,9.0,65.9,102.3,23.0,50.0,2.2,1.0
285,285,13,HOU,NYJ,2018,15.0,22.0,24.0,38.0,228.0,2.0,0.0,3.0,6.7,5.6,63.2,97.3,31.0,90.0,2.9,1.0
286,286,14,HOU,PHI,2018,16.0,32.0,35.0,50.0,462.0,4.0,1.0,1.0,9.4,9.1,70.0,117.2,22.0,57.0,2.6,0.0
287,287,15,HOU,JAX,2018,17.0,3.0,15.0,28.0,89.0,0.0,1.0,3.0,3.8,2.9,53.6,45.1,16.0,30.0,1.9,0.0
288,288,0,LAC,KAN,2018,1.0,38.0,15.0,27.0,256.0,4.0,0.0,1.0,9.5,9.1,55.6,127.5,27.0,106.0,3.9,0.0
289,289,1,LAC,BUF,2018,2.0,20.0,18.0,33.0,209.0,1.0,2.0,5.0,7.4,5.5,54.5,58.8,22.0,84.0,3.8,1.0
290,290,2,LAC,LAR,2018,3.0,35.0,29.0,36.0,350.0,3.0,1.0,1.0,9.8,9.5,80.6,123.4,35.0,171.0,4.9,1.0
291,291,3,LAC,SFO,2018,4.0,27.0,23.0,37.0,288.0,2.0,2.0,1.0,8.1,7.6,62.2,81.8,21.0,76.0,3.6,0.0
